0.00000	0.10000	UNDEF
0.10000	0.20000	S
0.20000	0.21000	V
0.21000	0.26000	S
0.26000	0.28000	V
0.28000	0.34000	S
0.34000	0.35000	V
0.35000	0.74000	S
0.74000	0.75000	V
0.75000	0.98000	S
0.98000	1.00000	V
1.00000	1.16000	S
1.16000	2.14000	V
2.14000	2.15000	S
2.15000	2.16000	V
2.16000	2.20000	S
2.20000	2.21000	V
2.21000	2.22000	S
2.22000	2.23000	V
2.23000	2.28000	S
2.28000	2.29000	V
2.29000	2.33000	S
2.33000	2.37000	V
2.37000	2.41000	S
2.41000	2.46000	V
2.46000	2.49000	S
2.49000	2.50000	V
2.50000	2.52000	S
2.52000	2.53000	V
2.53000	2.79000	S
2.79000	3.05000	V
3.05000	3.06000	S
3.06000	3.07000	V
3.07000	3.12000	S
3.12000	3.57000	V
3.57000	3.58000	S
3.58000	3.63000	V
3.63000	3.92000	S
3.92000	3.95000	V
3.95000	4.08000	S
4.08000	4.09000	V
4.09000	4.49000	S
4.49000	4.50000	V
4.50000	4.58000	S
4.58000	4.59000	V
4.59000	4.61000	S
4.61000	4.62000	V
4.62000	4.64000	S
4.64000	4.65000	V
4.65000	4.81000	S
4.81000	4.82000	V
4.82000	4.96000	S
4.96000	4.97000	V
4.97000	5.02000	S
5.02000	5.03000	V
5.03000	5.15000	S
5.15000	5.16000	V
5.16000	5.21000	S
5.21000	5.43000	V
5.43000	5.49000	S
5.49000	5.64000	V
5.64000	5.72000	S
5.72000	5.81000	V
5.81000	5.83000	S
5.83000	5.85000	V
5.85000	5.91000	S
5.91000	6.32000	V
6.32000	6.36000	S
6.36000	6.37000	V
6.37000	6.40000	S
6.40000	6.41000	V
6.41000	6.43000	S
6.43000	6.44000	V
6.44000	6.55000	S
6.55000	6.74000	V
6.74000	6.75000	S
6.75000	6.81000	V
6.81000	6.85000	S
6.85000	6.86000	V
6.86000	6.94000	S
6.94000	6.95000	V
6.95000	7.01000	S
7.01000	7.02000	V
7.02000	7.09000	S
7.09000	7.10000	V
7.10000	7.11000	S
7.11000	7.12000	V
7.12000	7.14000	S
7.14000	7.31000	V
7.31000	7.32000	S
7.32000	7.33000	V
7.33000	7.36000	S
7.36000	7.37000	V
7.37000	7.70000	S
7.70000	7.71000	V
7.71000	7.97000	S
7.97000	7.98000	V
7.98000	8.01000	S
8.01000	8.02000	V
8.02000	8.04000	S
8.04000	8.05000	V
8.05000	8.06000	S
8.06000	8.07000	V
8.07000	8.11000	S
8.11000	8.12000	V
8.12000	8.53000	S
8.53000	8.54000	V
8.54000	9.24000	S
9.24000	9.25000	V
9.25000	9.31250	S
